alim_code;alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
27002;Brochet, rôti/cuit au four;100;23,1;traces;0,88
27004;Carpe, rôtie/cuite au four;151;21,6;traces;7,17
27005;Perche, rôtie/cuite au four;119;22,1;traces;3,42
27006;Truite, rôtie/cuite au four;183;26,6;traces;8,47
27007;Truite, cuite à la vapeur;99,4;19;traces;2,6
27014;Truite arc en ciel, élevage, rôtie/cuite au four;143;21,5;traces;6,33
27015;Truite arc en ciel, élevage, cuite à la vapeur;117;20;traces;4,14
27018;Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit;79;17,5;traces;1
27029;Truite d'élevage, fumée;180;23,4;0,69;9,27
27030;Bar commun ou loup, rôti/cuit au four;147;22,2;traces;6,51
27031;Dorade (Daurade) royale, cuite au four;148;23,6;traces;5,9
26001;Bar rayé ou bar d'Amérique, cru;113;20,3;traces;3,58
26006;Lieu ou colin d'Alaska, cru;70,8;16,3;traces;0,61
26009;Flétan de l'Atlantique ou flétan blanc, cru;96,5;21,2;traces;1,31
26011;Hareng, cru;176;17,7;traces;11,7
26018;Lotte ou baudroie, crue;67,2;15,1;traces;0,74
26036;Saumon, cru, élevage;194;20,5;traces;12,4
26042;Turbot sauvage, cru;91,5;17,2;traces;2,54
26043;Cabillaud, cru;77,6;18,1;traces;0,57
26044;Merlu, cru;82,6;17,6;traces;1,35
26047;Lieu noir, surgelé, cru;82,4;19,8;traces;0,37
26048;Merlu, filet, surgelé, cru;82;15,1;traces;2,4
26051;Maquereau, cru;194;18,1;traces;13,5
26052;Raie, crue;89,9;21,4;traces;0,47
26053;Thon, cru;144;24;traces;5,38
26055;Carrelet ou plie, cru;88,6;20;traces;0,94
26057;Limande, crue;80,8;18,3;traces;0,85
26058;Sole, crue;77,3;18;traces;0,6
26063;Rascasse, crue;87,6;18,9;traces;1,33
26064;Thon albacore ou thon jaune, cru;108;25;traces;0,94
26065;Sardine, crue;163;19,5;traces;9,48
26068;Thon listao ou Bonite à ventre rayé, cru;97,1;22;traces;1,01
26069;Thon rouge, cru;155;23,3;traces;6,81
26072;Bar commun ou loup, cru, sans précision;82,5;19,1;traces;0,7
26074;Roussette ou petite roussette ou saumonette, crue;97,8;23,3;traces;0,5
26075;Bar ou loup de l'Atlantique, cru;89,9;16,6;traces;2,61
26076;Thon germon ou thon blanc, cru;121;27,2;traces;1,37
26079;Anchois commun, cru;129;18,6;traces;6,07
26080;Dorade royale, ou daurade ou vraie daurade, crue, sauvage;93,2;18,1;traces;2,31
26082;Espadon, cru;130;18,9;traces;5,97
26083;Éperlan, cru;85,4;17,5;traces;1,7
26084;Cardine franche, crue;93,4;19,9;traces;1,53
26085;Rouget-barbet de roche, cru;158;18,4;traces;9,37
26088;Dorade royale ou daurade ou vraie daurade, crue, élevage;129;20,9;traces;5,1
26091;Mulet, cru;113;20,1;traces;3,62
26092;Truite de mer, crue;111;19,6;traces;3,63
26095;Merlan, cru;79,3;18,8;traces;0,47
26098;Morue, salée, sèche;206;47,6;traces;1,67
26099;Dorade grise, ou daurade grise, ou griset, crue;130;20,5;traces;5,27
26100;Bogue, crue;90;17,9;traces;2,03
26101;Bonite, crue;161;22,3;traces;8,01
26102;Maquereau espagnol ou maquereau blanc ou billard, cru;135;22,1;traces;5,15
26103;Denté, cru;99,3;17;traces;3,5
26104;Saint-Pierre, cru;86,7;19,9;traces;0,8
26106;Grondin, cru;94;19;traces;2
26107;Corb, cru;87,2;20;traces;0,8
26108;Capelan, cru;90;18,7;traces;1,71
26109;Dorade rose, ou daurade rose, crue;102;21;traces;2
26110;Rouget-barbet de roche, vapeur;143;24,1;traces;5,2
26111;Saupe, crue;94,5;18;traces;2,5
26113;Chinchard, cru;116;19;traces;4,42
26122;Églefin, cru;72,3;17,3;traces;0,35
26127;Congre, cru;115;18,3;traces;4,6
26128;Grenadier (de roche), cru;68,9;15,4;traces;0,81
26129;Lieu jaune ou colin, cru;75,5;17,7;traces;0,51
26130;Julienne ou Lingue, crue;80,8;19,2;traces;0,44
26133;Tacaud, cru;81,6;19,7;traces;0,33
26134;Lieu noir, cru;82,5;18,8;traces;0,8
26135;Limande-sole, crue;80,6;17;traces;1,4
26141;Foie de morue, cru;619;5;traces;66,6
26146;Vivaneau, cru;94,1;20,5;traces;1,34
26153;Sabre, cru;125;18;traces;5,9
26154;Flétan du Groënland ou flétan noir ou flétan commun, cru;168;13,5;traces;12,7
26157;Carangue, cru;104;19,9;traces;2,7
26159;Coulirou, cru;70,9;17,5;traces;0,1
26161;Saumon, cru, sauvage;166;21;traces;9,17
26162;Requin, cru;109;20,8;traces;2,91
26166;Orphie commune, crue;133;20;traces;5,91
26168;Lompe, crue;168;10;traces;14,2
26170;Brème, cru;104;16,9;traces;4
26171;Omble chevalier, cru;103;19,8;traces;2,7
26172;Loup tacheté, cru;108;16,3;traces;4,8
26173;Sprat, cru;186;19,8;traces;11,9
26174;Turbot, cru;85,5;17,9;traces;1,55
26175;Corégone lavaret, cru;115;20,5;traces;3,72
26178;Mérou, cru;82,3;18,6;traces;0,86
26194;Lingue bleue ou Lingue, crue;79,6;18,9;traces;0,44
26200;Sole tropicale ou Sole langue, crue;68,2;15,7;traces;0,58
26201;Turbot d'élevage, cru;109;18,3;traces;3,94
26205;Bar commun ou loup (Méditerranée), cru, sauvage;97,9;20,1;traces;1,94
26206;Bar commun ou loup (Méditerranée), cru, élevage;124;21,4;traces;4,25
26208;Baudroie rousse ou Lotte, crue;70,2;16,7;traces;0,37
26210;Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue;89,5;18,8;traces;1,6
26213;Hoki, tout lieu de pêche, cru;92,3;17,8;traces;2,36
26214;Grenadier bleu ou hoki de Nouvelle-Zélande, cru;75,5;15,6;traces;1,46
26219;Grondin perlon, cru;97,4;20,3;traces;1,79
26233;Merlu blanc du Cap, surgelé, cru;78;16,1;traces;1,52
26235;Chinchard maigre, cru;96,7;18,7;traces;2,42
26236;Chinchard gras, cru;147;19,6;traces;7,66
26237;Hareng maigre, cru;111;18,3;traces;4,22
26238;Hareng gras, cru;172;18,7;traces;10,8
26240;Joëls (petits poissons entiers) pour friture, crus;88,9;17,5;traces;2,1
26241;Empereur, filet, sans peau, cru;73,5;15;traces;1,5
26244;Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…);96,7;16,3;traces;3,5
27003;Carpe, crue, élevage;114;17,7;traces;4,76
27008;Truite d'élevage, crue;133;19,3;traces;6,22
27009;Truite arc en ciel, crue, élevage;132;19;traces;6,24
27010;Perche, crue;82,2;17,9;traces;1,19
27011;Brochet, cru;83,7;18,8;traces;0,94
27012;Esturgeon, cru;123;17,7;traces;5,84
27016;Anguille, crue;232;16,1;traces;18,6
27017;Pangasius ou Poisson-chat, cru;65,2;13,5;traces;1,27
27019;Tilapia, cru;91,6;18,1;traces;2,13
27021;Truite saumonée, crue;143;19,2;traces;7,4
27023;Lotte de rivière, crue;77;17,8;traces;0,66
27024;Sandre, cru;82,9;18,3;traces;1,08
27025;Perche du Nil, crue;82,4;19,1;traces;0,68
10000;Bigorneau, cuit;-;16,3;-;3,5
10004;Coquille Saint-Jacques, noix et corail, cuite;110;20,2;3,22;1,77
10006;Crevette grise, cuite;89,9;18,3;1,47;1,2
10007;Crevette, cuite;93,8;19;1,87;1,16
10009;Homard, bouilli/cuit à l'eau;90,9;19,6;0,11;1,32
10013;Moule, bouillie/cuite à l'eau;108;17,2;5,12;2,09
10020;Bulot ou Buccin, cuit;97,7;20,7;2,69;0,47
10022;Langouste, bouillie/cuite à l'eau;106;21,8;1,3;1,52
10025;Crabe ou Tourteau, bouilli/cuit à l'eau;124;19,5;1,79;4,29
10027;Clam, Praire ou Palourde, bouilli/cuit à l'eau;99,2;16,2;5,33;1,48
10031;Écrevisse, cuite;73,5;16,3;0,56;0,7
10033;Crevette rose bouquet, cuite;-;22,8;-;1,27
10037;Calmar ou calamar ou encornet, bouilli/cuit à l'eau;149;32,5;1,64;1,4
10043;Fruits de mer (aliment moyen);104;18,9;3,06;1,76
10044;Langoustine, bouillie/cuite à l'eau;-;20,9;-;0,98
10057;Araignée de mer, cuite;-;18,3;-;3,8
10061;Crevette pattes blanches, cuite;-;22,6;-;0,96
10062;Crevette géante tigrée, cuite;-;23,4;-;0,98
10064;Crevette royale rose, cuite;-;26,6;-;1,18
10079;Poulpe, cuit;156;29,8;4,4;2,08
10080;Fruits de mer, cuits, surgelés;79,5;13,5;2,83;1,57
10084;Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse;173;17,9;8,45;7,48
10099;Escargot, sans matière grasse ajoutée, cuit;80;16,6;0,23;1,4
34501;Grenouille, cuisse, grillée/poêlée;-;21,9;-;0,9
10001;Calmar ou calamar ou encornet, cru;77;14,4;2,17;1,19
10003;Coquille Saint-Jacques, noix et corail, crue;83;17;0,78;1,31
10008;Escargot, cru;77,9;16,1;1,29;0,92
10010;Homard, cru;85,5;17,9;0,94;1,15
10011;Huître, sans précision, crue;67,2;8,64;3,86;1,91
10014;Moule commune, crue;71,8;11,2;2,69;1,82
10015;Langouste, crue;86,9;17,7;1,07;1,34
10016;Seiche, crue;76,3;16,2;0,51;1,05
10017;Clam, Praire ou Palourde, cru;80,5;11,5;2,66;2,65
10018;Poulpe, cru;60,1;12,9;0,97;0,5
10019;Bulot ou Buccin, cru;131;23,8;7,61;0,57
10021;Crevette, crue;99;19,7;3,21;0,84
10024;Langoustine, crue;89,8;19,1;1,53;0,79
10026;Moule de Méditerranée, crue;68,7;10,7;2,77;1,67
10030;Écrevisse, crue;68,3;14,8;0,81;0,64
10035;Huître creuse, crue;67,2;8,64;3,86;1,91
10036;Huître plate, crue;53,5;10,2;1,16;0,9
10038;Crevette, surgelée, crue;105;23,4;0,74;0,9
10039;Crabe, cru;104;19,5;0,027;2,86
10041;Ormeau, cru;99,6;14,4;8,69;0,83
10045;Coquille Saint-Jacques, noix, crue;83,6;17,9;1,15;0,84
10048;Pecten d'Amérique ou Peigne du canada, noix, crue;81,3;17,3;1,78;0,54
10049;Pétoncle ou Peigne du Pérou, noix, crue;88,7;17,5;3,1;0,7
10059;Crevette rose, crue;92,3;21,9;0;0,53
34500;Grenouille, cuisse, crue;70;16,2;0,66;0,28
8059;Rillettes de crabe, préemballées;192;12,2;3,5;13,6
8080;Rillettes de poisson, préemballées;243;13,9;0,3;20,7
8081;Rillettes de saumon, préemballées;237;15,1;2;18,4
8082;Rillettes de thon, préemballées;199;16,4;1,65;13,8
8083;Rillettes de maquereau, préemballées;246;11;1;22
8291;Terrine de poisson, préemballée;171;11;5,5;11,4
8292;Terrine de fruits de mer, avec ou sans poisson, préemballée;188;8,4;6,5;14
8293;Tarama, préemballé;534;6,75;3,19;54,8
10002;Calmar ou Calamar ou encornet, à la romaine (beignet);252;8,69;21,2;14,4
10005;Crabe, miettes et ou pattes décortiquées, appertisé, égoutté;111;14,8;8,72;1,8
10012;Langoustine, panée, frite;282;10,9;29;13,6
10023;Beignet de crevette;222;6,5;26;10
10028;Moule, appertisée, égouttée;102;14,6;5,93;2,2
10042;Escargot en sauce au beurre persillé, préemballé, cuit;277;12,9;2,26;23,7
10081;Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée;145;12,5;5;7,9
25433;Accra de poisson;275;12,4;15,1;17,6
25537;Carpaccio de saumon avec marinade;194;19,8;0,22;12,7
25995;Maquereau, filet grillé, appertisé, nature, égoutté;246;19,7;0,55;18,3
25999;Anchois, filets roulés aux câpres, semi-conserve, égoutté;198;24,8;1,48;10,3
26000;Anchois, filets à l'huile, semi-conserve, égoutté;182;26,4;< 0,2;8,45
26002;Carrelet ou plie, pané, frit;242;13,4;8,86;16,8
26004;Oeufs de lompe, semi-conserve;111;10,4;1;7,27
26005;Caviar, semi-conserve;254;25;traces;17,1
26010;Hareng mariné ou rollmops;211;13,7;8;13,8
26016;Limande-sole, panée, frite;206;16,7;11,9;10,2
26027;Pilchard, sauce tomate, appertisé, égoutté;167;13;3,99;11
26028;Poisson, croquette ou beignet ou nuggets, frit;255;13,2;18,4;13,7
26029;Poisson pané, surgelé, cru;162;11;16,1;5,73
26030;Poisson pané, frit;193;11,9;13,4;10
26034;Sardine, à l'huile, appertisée, égouttée;207;24,4;0,49;12
26035;Sardine, sauce tomate, appertisée, égouttée;193;20,2;1,38;11,6
26039;Thon, au naturel, appertisé, égoutté;111;26,8;0;0,4
26040;Sardine, à l'huile d'olive, appertisée, égouttée;202;24,3;1,06;11,2
26046;Surimi, bâtonnets, tranche ou râpé saveur crabe;125;8,31;11,8;4,92
26056;Oeufs de cabillaud, fumés, semi-conserve;146;26,9;0,1;4,2
26077;Thon germon ou thon blanc, cuit à la vapeur sous pression;165;30;0;5,06
26086;Maquereau, filet sauce tomate, appertisé, égoutté;227;17,7;1,94;16,3
26096;Maquereau, filet sauce moutarde, appertisé, égoutté;217;20,8;1,09;14,2
26097;Maquereau, filet au vin blanc, appertisé, égoutté;207;17,8;2,25;14,1
26119;Saumon, appertisé, égoutté;180;20,5;1,5;10,2
26123;Maquereau, au naturel, appertisé, égoutté;189;21,6;0;11,4
26124;Merlan, pané;190;12,6;13;9,57
26142;Foie de morue, appertisé, égoutté;433;7,25;1,1;44,4
26151;Oeufs de truite, semi-conserve;-;26,3;-;9,5
26177;Anchois au sel (anchoité, semi-conserve);128;25;0;3,1
26179;Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté;192;31,3;1,01;6,95
26180;Thon à l'huile de tournesol, entier, appertisé, égoutté;206;23,3;0,76;12,2
26181;Thon albacore ou thon jaune, au naturel, appertisé, égoutté;128;26,6;0,58;1,98
26186;Maquereau, mariné;185;16,3;traces;13,3
26187;Anchois commun, mariné, préemballé;136;23,9;2,7;3,26
26231;Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;213;21,5;0,62;13,9
26239;Surimi, fourré au fromage;149;6,6;9,24;9,3
26242;Thon à la tomate, miettes, appertisées, égouttées;130;14,6;4,33;5,93
26243;Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé;142;10,8;5,05;8,6
26245;Thon à l'huile de tournesol, miettes, appertisées, égouttées;227;23,4;0;14,8
26275;Oeufs de saumon, semi-conserve;224;30,8;1,5;10,5
22008;Oeuf, blanc (blanc d'oeuf), cuit;47,3;10,3;1,12;0,17
22009;Oeuf, jaune (jaune d'oeuf), cuit;340;16;1,31;30,1
22010;Oeuf, dur;134;13,5;0,52;8,62
22011;Oeuf, poché;138;12,5;0,71;9,47
22014;Oeuf, à la coque;142;12,2;1,08;9,82
22501;Oeuf, au plat, frit, salé;204;14,3;0,74;16
22502;Oeuf, brouillé, avec matière grasse;145;9,99;1,62;11
22505;Oeuf, au plat, sans matière grasse;147;13,8;1,01;9,72
22000;Oeuf, cru;140;12,7;0,27;9,83
22001;Oeuf, blanc (blanc d'oeuf), cru;48,1;10,8;0,85;0,19
22002;Oeuf, jaune (jaune d'oeuf), cru;307;15,5;1,09;26,7
22050;Oeuf de caille, cru;154;13,1;0,41;11,1
22060;Oeuf de cane, cru;181;13;1,31;13,8
22070;Oeuf d'oie, cru;180;13,8;1,4;13,3
22080;Oeuf de dinde, cru;166;13,7;1,13;11,9
22003;Oeuf, jaune (jaune d'oeuf), en poudre;660;34,1;2,77;57
22004;Oeuf, blanc (blanc d'oeuf), en poudre;356;81,2;7,73;0
22013;Oeuf, en poudre;582;47,9;3,11;42
22506;Omelette au fromage;255;17,7;2,56;19,3
22507;Omelette aux lardons;267;12,5;1,46;23,5
22508;Omelette aux champignons;125;8,09;2,28;9,2
22509;Omelette aux fines herbes;147;9,5;1,98;11,2
22510;Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée;165;5,56;11,7;9,9
22511;Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen);184;9,82;5,07;13,5
20591;Protéine de soja texturée, réhydratée;150;18,6;7,03;2,9
20904;Tofu nature, préemballé;148;13,4;2,87;8,5
20912;Tofu fumé, préemballé;164;14,9;2,91;9,5
25223;Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé;157;19,5;6,76;3,7
25224;Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé;185;17,6;8,19;7
25598;Seitan, préemballé;134;20,6;6,74;2,5
19023;Lait entier, UHT;65,1;3,32;4,85;3,63
19024;Lait entier, pasteurisé;56,5;3,3;3,47;3,3
19037;Lait demi-écrémé, UHT, enrichi en vitamine D seulement;46,6;3,38;4,8;1,52
19038;Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines;44,1;3,38;4,79;1,25
19039;Lait, teneur en matière grasse inconnue, UHT (aliment moyen);47,3;3,38;4,82;1,59
19041;Lait demi-écrémé, UHT;47;3,38;4,83;1,55
19042;Lait demi-écrémé, pasteurisé;46,4;3,19;4,9;1,54
19050;Lait écrémé, UHT;33,4;3,51;4,64;0,06
19051;Lait écrémé, pasteurisé;34,5;3,28;4,99;0,19
19060;Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose;44,4;3,45;4,69;1,29
19200;Lait de chèvre, entier, UHT;56,1;3,39;4,35;2,83
19201;Lait de chèvre, demi-écrémé, UHT;45,8;3,77;4,13;1,57
19202;Lait de chèvre, entier, cru;57,4;3,22;4,01;3,2
19225;Lait de jument, entier;50;2,41;6,18;1,73
19250;Lait de brebis, entier;103;5,68;4,5;6,97
19021;Lait en poudre, entier;499;27,4;37,5;26,8
19026;Lait concentré non sucré, entier;122;6,44;9,91;5,9
19027;Lait concentré sucré, entier;323;7,7;55,6;7,87
19044;Lait en poudre, demi-écrémé;459;31,5;43,4;17,5
19054;Lait en poudre, écrémé;361;35,3;54;0,7
19500;Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei;-;2,9;3,64;0,1
19508;Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré;73,7;2,98;11,6;1,4
19516;Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei;-;2,81;12,7;1,52
19534;Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D;-;3,08;12,6;1,2
19535;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré;82,8;3,09;13,1;1,69
19536;Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D;-;3,03;13,9;1,5
19538;Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei;-;2,76;12,9;1,6
19539;Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus;94,4;3,83;11,5;3,1
19541;Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus;-;4,67;6,71;0,094
19542;Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus;97,2;3,57;13;3,01
19543;Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol;-;3,88;6,6;0,5
19544;Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus;-;4,39;5,75;0,3
19546;Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus;64,5;3,84;3,47;3,6
19548;Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus;-;3,81;13,3;2,72
19550;Yaourt à la grecque, au lait de brebis;69,1;3,84;4,99;3,4
19552;Yaourt à la grecque, sur lit de fruits;-;2,31;16,3;6,3
19553;Yaourt au lait de brebis, aromatisé, sucré;93,7;5,04;9,33;3,7
19554;Yaourt au lait de brebis, nature, 3% MG environ;-;5,72;4,6;3
19556;Yaourt au lait de chèvre, nature, 5% MG environ;73,4;4,15;1,12;5,2
19557;Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré;-;2,95;15,2;3,91
19558;Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG;-;4,63;8,25;1,08
19559;Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG;54,5;4,53;8,29;0,06
19575;Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré;89,1;3,42;12,2;2,6
19577;Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème;-;3,08;13,4;5,45
19578;Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D;-;3,43;13,6;1,79
19579;Yaourt, lait fermenté ou spécialité laitière, aux céréales;-;3,64;11,3;3,43
19580;Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré;122;3,51;14,1;5,1
19581;Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG;38,9;4,21;3,72;< 0,3
19582;Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D;-;4,54;7,45;0,097
19587;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré;95,7;3,61;14,2;2,4
19589;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème;109;2,42;14,5;4,28
19592;Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D;-;3,51;14;2,35
19593;Yaourt, lait fermenté ou spécialité laitière, nature;45,5;3,96;2,65;1,5
19594;Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG;39,4;4,82;4,1;0,064
19596;Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D;-;4,59;5;0
19597;Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D;-;4,41;5,4;1,17
19598;Yaourt, lait fermenté ou spécialité laitière, nature, à la crème;115;3,06;3,08;9,8
19599;Yaourt, lait fermenté ou spécialité laitière, nature, sucré;84,3;3,48;12,5;1,95
19600;Yaourt ou spécialité laitière nature (aliment moyen);56,8;3,88;4,73;2,3
19624;Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen);69,4;3,65;7,47;2,5
19628;Yaourt ou spécialité laitière aux fruits (aliment moyen);93,1;3,2;12,8;2,89
19669;Spécialité laitière type encas, riche en protéines, sur lit de fruits, sucrée;98,3;7,46;11,5;2,29
19671;Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen);42,4;4,29;4,92;0,13
19672;Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, non allégé en MG (aliment moyen);93,2;3,24;12,9;2,81
19675;Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen);42,4;4,29;4,92;0,13
19676;Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré (aliment moyen);93,3;3,24;13;2,83
19677;Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen);93,2;3,24;13;2,83
19682;Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits (aliment moyen);89,3;3,32;12,4;2,63
19801;Lait fermenté à boire, nature, maigre;33,6;3,51;2,18;0,6
19805;Lait fermenté à boire, nature, au lait entier;55,7;3,38;1,99;3,2
19860;Yaourt à la grecque, nature;-;3,32;4,21;9,22
19862;Yaourt à la grecque, aromatisé, sucré;-;4,29;12,8;8,2
19865;Kéfir de lait;-;3,19;4,5;3,5
19882;Yaourt au lait de brebis, nature, 6% MG environ;-;5,14;4,56;6,08
19501;Fromage blanc nature ou aux fruits (aliment moyen);87,7;7,1;5,68;4,31
19572;Fromage frais type petit suisse, aromatisé chocolat, sucré;-;3,95;20,9;5,18
19638;Faisselle au coulis de fruits;-;3,57;8,5;5
19639;Faisselle, 0% MG;-;4,47;4,44;0
19641;Faisselle, 6% MG environ;84,2;4,47;3,57;5,5
19643;Fromage blanc et crème fouettée sur lit de fruits, sucré;-;4,59;16;7
19644;Fromage blanc nature, 0% MG;49,4;7,95;3,89;0,044
19645;Fromage blanc nature, 0% MG, enrichi en vitamine D;-;7,55;5;0,1
19646;Fromage blanc nature, 3% MG environ;76,9;8,03;3,46;3,26
19647;Fromage blanc nature, 3% MG environ, au bifidus;-;7,19;3,94;3,28
19648;Fromage blanc nature, 3% MG environ, enrichi en vitamine D;-;7,04;5,4;3,2
19649;Fromage blanc nature, gourmand, 8% MG environ;116;6,19;5,25;7,65
19650;Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ;-;6,89;3,74;10,2
19651;Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG;-;7,12;12,5;< 0,025
19652;Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ;-;6,39;13,1;2,65
19653;Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ, au bifidus;-;5,58;14;3,2
19654;Fromage blanc ou spécialité laitière, aux copeaux de chocolat, sucré, 7% MG environ;-;5,34;16,2;5,97
19655;Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 0% MG;-;6,24;6,76;0,12
19656;Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG;-;7,93;13,5;traces
19657;Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ;-;5,23;14,7;3,31
19658;Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ, au bifidus;-;5,36;13,5;2,98
19659;Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ;-;5,18;13,4;5,53
19661;Fromage frais type petit suisse, aux fruits, 2-3% MG;92,7;6,7;9,34;2,8
19662;Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D;-;6,42;12,2;2,63
19663;Fromage frais type petit suisse, nature, 0% MG;-;9,89;3,8;0,24
19664;Fromage frais type petit suisse, nature, 4% MG environ;88,8;9,95;2,84;4
19665;Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D;-;6,48;6;0,45
19666;Fromage frais type petit suisse, nature, 10% MG environ;149;9,7;3,17;10,4
19667;Fromage frais type petit suisse, aromatisé ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D;90,4;5,74;10,2;2,5
19668;Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ;-;3,16;12,2;2,5
19673;Crème dessert, allégée en MG, rayon frais;79,2;3,64;12,4;1,3
19674;Flan aux oeufs, rayon frais;111;4,08;18,5;2,2
19678;Lait emprésuré aromatisé, rayon frais;-;5,63;17,6;2,5
19679;Lait gélifié aromatisé, nappé caramel, rayon frais;91,9;2,55;16,7;1,3
19680;Lait gélifié aromatisé, rayon frais;-;3,39;19,5;3,53
19681;Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais;-;3;18,8;5,78
19683;Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais;-;4,17;11,8;1,08
19685;Panna cotta, avec préparations de fruits ou caramel, rayon frais;198;2,74;14,9;13
23534;Gâteau de semoule aux raisins et caramel, rayon frais;146;3,81;24,8;3,4
23536;Gâteau de riz au caramel, rayon frais;143;3,19;25,4;3,1
39001;Milk-shake, provenant de fast food;126;3,38;17,4;4,66
39200;Crème dessert au chocolat, rayon frais;130;3,39;19,9;3,93
39206;Mousse au chocolat (base laitière), rayon frais;150;5,42;21,3;4,4
39209;Crème caramel, rayon frais;132;4,45;20,6;3,6
39211;Crème aux oeufs (petit pot de crème chocolat, vanille, etc.), rayon frais;176;4,32;19,4;8,88
39212;Riz au lait, rayon frais;126;3,34;21,4;3,01
39213;Crème brûlée, rayon frais;272;4,46;16,6;20,8
39214;Crème dessert à la vanille, appertisée;132;3,7;21,1;3,62
39215;Ile flottante, rayon frais;129;4,98;19,8;3,31
