alim_nom_fr;Energie (kcal/100 g);Proteines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Agneau, viande, cuite (aliment moyen);208;28,1;0,011;10,6
Agneau, cete ou cetelette, grillee/poelee (aliment moyen);157;26,3;0;5,78
Chevreuil, reti/cuit au four;150;30,2;0;3,19
Sanglier, reti/cuit au four;153;28,3;0;4,38
Cerf, reti/cuit au four;150;30,2;0;3,19
Gibier e poil, cuit (aliment moyen);152;29,6;0;3,74
Faisan, viande, retie/cuite au four;239;32,4;0;12,1
Gibier e plumes, viande, cuit (aliment moyen);217;25,1;0;13
Cheval, viande, retie/cuite au four;138;28;0;2,85
Cheval, tende de tranche, grillee/poelee;135;27,9;traces;2,58
Cheval, faux-filet, grille/poele;163;26,6;traces;6,27
Cheval, entrecete, grillee/poelee;169;28,2;traces;6,24
Cheval, faux-filet, reti/cuit au four;173;28,3;traces;6,68
Cheval, tende de tranche, retie/cuite au four;144;29,7;traces;2,75
Chevreau, cuit;136;27,1;0;3,03
Lapin, viande braisee;197;30,4;0;8,41
Lapin, viande cuite;167;20,5;0,5;9,2
Lapin de garenne, viande, cuite;164;33;0;3,51
Chapon, viande et peau, reti/cuit au four;221;29;0;11,7
Caille, viande et peau, cuite;206;26,8;0;10,9
Canard, viande et peau, reti/cuit au four;331;19;0;28,4
Canard, viande, retie/cuite au four;194;23,3;0;11,2
Canard, magret, grille/poele;222;26,7;traces;12,8
Oie, viande, retie/cuite au four;230;29;0;12,7
Oie, viande et peau, retie/cuite au four;298;25,2;0;21,9
Pigeon, viande, retie/cuite au four;213;23,9;0;13
Autruche, viande cuite;168;26,2;0;7,07
Cervelle, agneau, cuite;145;12,6;0,8;10,2
Cervelle, porc, braisee;174;12,4;< 0,05;13,8
Cervelle, veau, cuite;133;11,5;0;9,63
Coeur, boeuf, cuit;133;23;0,15;4,5
Coeur, poulet, cuit;177;26,4;0,1;7,92
Coeur, dinde, cuit;167;24,9;0;7,52
Coeur, agneau, cuit;179;25;1,93;7,91
Foie, agneau, cuit;157;23;3,16;5,8
Foie, genisse, cuit;165;26,3;2,2;5,71
Foie, veau, cuit;121;19;4,47;3,02
Foie, volaille, cuit;164;25,8;0;6,4
Foie, porc, cuit;159;26;3,76;4,4
Foie, poulet, cuit;160;24,5;0,8;6,51
Foie, dinde, cuit;182;27;0;8,18
Langue, veau, cuite;237;21;0;17
Langue, boeuf, cuite;235;23,7;0;15,6
Ris, agneau, cuit;227;22,8;0;15,1
Ris, veau, braise ou saute/poele;136;21;0;5,8
Rognon, cuit (aliment moyen);161;26,1;0;6,31
Rognon, boeuf, cuit;171;27;0;7
Rognon, porc, cuit;144;25,4;0;4,7
Rognon, agneau, braise;127;23,7;0;3,62
Rognon, veau, braise ou saute/poele;167;26;0;7
Abat, cuit (aliment moyen);162;25,1;1,36;6,24
Gesier, canard, confit, appertise;149;32,4;0;2,1
Boeuf, cete, crue;251;18,7;traces;19,6
Boeuf, epaule, crue;168;20,4;0;9,64
Boeuf, basse-cete, crue;201;19;1,45;13,2
Boeuf, gete e la noix, cru;148;21,3;0;7,05
Boeuf, entrecete, crue;231;19,4;0;17,1
Boeuf, rond de gete, cru;111;22,9;0,38;2,02
Boeuf, faux-filet, cru;152;22,3;0,6;6,74
Boeuf, filet, cru;132;21,6;0,22;4,95
Boeuf, plat de cetes, cru;287;18,4;0;23,7
Boeuf, hampe, crue;154;19;0;8,63
Boeuf, joue, crue;136;22,3;0,4;5,02
Boeuf, jarret, cru;122;20,9;0;4,25
Boeuf, tende de tranche, crue;116;23,1;0,57;2,34
Boeuf, steak ou bifteck, cru;223;19,2;0;16,2
Boeuf, boule de macreuse, crue;118;21,8;0;3,36
Boeuf, onglet, cru;138;19,9;0,62;6,18
Boeuf, rumsteck, cru;114;22,5;0,4;2,5
Boeuf, bavette d'aloyau, crue;133;20,4;0;5,67
Boeuf, e bourguignon ou pot-au-feu, cru;164;24;0;7,5
Boeuf, collier, cru;198;20,1;0,78;12,7
Boeuf, steak hache 5% MG, cru;130;21,9;0,3;4,59
Boeuf, steak hache 10% MG, cru;171;20;< 0,05;10,1
Boeuf, steak hache 15% MG, cru;209;20,2;0,47;14,1
Boeuf, steak hache 20% MG, cru;249;17,3;0;20
Boeuf, paleron, cru;144;21,2;0;6,54
Boeuf, queue, crue;203;21,5;0,23;12,9
Veau, cete, crue;189;18,3;0;12,9
Veau, carre, cru;145;19,5;0,4;7,25
Veau, escalope, crue;108;20,7;0,58;2,6
Veau, noix, crue;111;21,8;0;2,58
Veau, filet, cru;95;20,6;0;1,4
Veau, steak hache 20% MG, cru;243;16,7;0,4;19,5
Veau, steak hache 15% MG, cru;208;18,2;traces;15
Veau, poitrine, crue;176;18,7;0;11,2
Veau, reti, cru;145;27,3;0;3,96
Veau, epaule, crue;124;20,7;0;4,63
Veau, pied, cru;184;19,1;traces;12
Veau, jarret, cru;118;21,3;0;3,66
Veau, collier, cru;133;19,8;traces;5,92
Porc, epaule, crue;178;18,9;0,38;11,2
Porc, poitrine, crue;253;17;0;20,5
Porc, longe, crue;175;20,8;0,75;9,89
Porc, jarret, cru;187;19,9;0;12
Porc, cete, crue;164;19,8;0,38;9,3
Porc, rouelle de jambon, crue;149;20,2;0;7,56
Porc, carre, cru;146;22,7;0,4;5,94
Porc, filet, maigre, cru;117;21,2;0;3,6
Porc, filet mignon, cru;123;21,2;0,4;4,09
Porc, reti, cru;153;22,3;0,5;6,86
Porc, echine, crue;198;18;0,1;14
Porc, travers, cru;237;18;0,6;18
Porc, escalope de jambon, crue;129;21,5;0;4,76
Porc, bardiere decouennee, crue;744;4,51;0,1;80,6
Porc, gorge, decouennee, crue;475;11,6;0,14;47,5
Porc, hachage sans jarret, sans bateau, decouenne, degraisse, desosse, cru;187;18,9;0,23;12,3
Porc, jambon sans jarret, sans bateau, decouenne, degraisse, desosse, cru;141;20,9;0,28;6,3
Porc, jambonneau arriere, decouenne, degraissse, desosse, cru;148;20,2;0,28;7,31
Porc, maigre 90/10, cru;212;18,8;0,24;15,1
Porc, maigre 80/20, cru;293;17,3;0,26;24,7
Porc, palette, decouennee, degraissee, desossee, crue;174;19,9;0,25;10,4
Porc, poitrine cutter, sans mouille, crue;323;15,9;0,22;28,7
Porc, reti filet avec chaenette, cru;146;22,3;0,37;6,2
Poulet, cuisse, viande et peau, cru;192;17,3;0;13,5
Poulet, viande, crue;113;20;0;3,73
Poulet (var, blanc), viande et peau, cru;123;21,2;0;4,3
Poulet fermier, viande et peau, cru;135;21,5;0,2;5,4
Poulet, viande et peau, cru;173;20,2;0,3;10,1
Poulet, filet, sans peau, cru;110;23,4;0;1,5
Poulet, haut de cuisse, viande, cru;116;19,7;0;4,12
Poulet eviscere sans abats, cru;210;18,6;traces;15,1
Poulet, pilon, cru;155;18,4;0;9,05
Poulet, aile, viande et peau, cru;181;20,4;0;11
Poulet, cuisse, viande, cru;114;19,3;0;4,05
Poulet, poitrine, viande et peau, cru;157;21,1;0;8,08
Poulet, cuisse, viande et peau, cru, bio;193;18,1;0;13,3
Poulet, cuisse, viande et peau, cru, label rouge;173;19,1;0;10,6
Poulet, filet, sans peau, cru, bio;118;24,6;0;1,8
Poulet, filet, sans peau, cru, label rouge;113;25,2;0;1
Dinde, viande et peau, crue;132;23,4;0;4,31
Dinde, viande, crue;110;22,4;0,8;1,88
Dinde, escalope, crue;109;24,1;0,51;1,22
Dinde, cuisse, viande et peau, crue;150;19,8;0;7,85
Dinde, cuisse, viande sans peau, crue;109;21,3;0,4;2,5
Dinde, aile, crue;192;20,2;0;12,3
Mouton, viande, crue;137;20,6;traces;6,11
Mouton, epaule, crue;204;18,3;0,1;14,5
Mouton, pied, cru;204;18,1;traces;14,6
Mouton, tete, crue;204;18,1;traces;14,6
Mouton, gigot, cru;225;18;traces;17
Agneau, cetelette, crue;368;14,4;0;34,5
Agneau, gigot, cru;128;20;0,48;5,13
Agneau, epaule, crue;170;18,3;0,45;10,6
Agneau, epaule, maigre, crue;139;19,6;0;6,76
Agneau, collier, cru;195;18;traces;13,7
Agneau, selle, crue;236;17,5;0;18,4
Agneau, cete filet, crue;242;17,6;2,3;18
Agneau, cete premiere, crue;276;16,9;0;23,1
Agneau, cete ou cetelette, crue (aliment moyen);273;16,3;0,92;22,6
Agneau, cete decouverte, crue;205;16,3;1,38;15
Sanglier, cru;147;20,7;0;7,13
Lievre, viande crue;111;21,6;0;2,67
Chevreuil, cru;110;23;0;2
Cerf, cru;113;23,7;0;2,04
Faisan, viande, cru;127;23,3;0;3,78
Faisan, viande et peau, cru;164;23,2;0;7,95
Cheval, viande, crue;167;18,8;0,6;10
Cheval, steak, cru;129;21,4;0,4;4,6
Cheval, tende de tranche, crue;106;22,7;traces;1,68
Cheval, faux-filet, cru;121;22,2;traces;3,58
Cheval, entrecete, crue;118;22,1;traces;3,34
Chevreau, cru;103;20,6;0;2,31
Lapin, viande crue;189;20,4;0,66;11,6
Lapin de garenne, viande, crue;108;21,8;0;2,32
Poule, viande et peau, crue;215;17,8;0,4;15,8
Poule, viande ,crue;124;20,9;0;4,51
Poule, cuisse, crue;131;19,6;0;5,92
Chapon, viande et peau, cru;183;21,8;0;10,6
Caille, viande et peau, crue;136;21,5;0;5,55
Caille, viande, crue;126;22,5;0,5;3,81
Canard, viande, crue;126;19,4;0;5,33
Canard, cuisse avec peau, sans os, crue;103;18,7;traces;3,1
Canard, viande et peau, cru;284;17,4;2,75;22,6
Canard, magret, cru;340;17,9;0,85;29,4
Oie, viande crue;155;22,6;0;7,12
Oie, viande et peau, crue;365;15,7;0;33,6
Pigeon, cru;222;18,9;0,7;16
Pintade, crue;143;22,8;0;5,75
Pintade, poitrine, crue;107;25,1;0;0,7
Pintade, cuisse, crue;121;21,3;0;4
Autruche, viande crue;159;20,2;0;8,7
Cervelle, agneau, crue;122;10,4;0,8;8,58
Cervelle, porc, crue;124;10,3;0;9,21
Cervelle, veau, crue;117;10,3;0,5;8,21
Coeur, boeuf, cru;103;18,5;0,7;2,95
Coeur, poulet, cru;149;15,6;0,7;9,32
Coeur, dinde, cru;135;16,7;0,4;7,44
Coeur, agneau, cru;119;16,5;0,4;5,68
Coeur, porc, cru;109;17,1;0,4;4,33
Coeur, veau, cru;106;16,1;1,8;3,84
Foie, agneau, cru;148;21,8;2,92;5,45
Foie, genisse, cru;138;21;3,67;4,3
Foie, veau, cru;120;15,5;5,64;3,4
Foie, volaille, cru;133;21,3;1,13;4,88
Foie, lapin, cru;132;19;5;4
Foie, poulet, cru;121;18,8;1,1;4,62
Foie, dinde, cru;123;18,3;0;5,5
Foie, porc, cru;127;20,6;1,85;4,2
Foie, oie, cru;129;16,3;6,3;4,29
Foie, canard, cru;131;18,7;3,5;4,62
Langue, boeuf, crue;193;16,8;0,4;13,8
Langue, veau, crue;151;17;0,9;8,84
Langue, porc, crue;191;16,6;0,5;13,6
Langue, agneau, crue;167;15,4;1,75;10,9
Ris, agneau, cru;122;14,6;0;7,04
Ris, veau, cru;96,6;17,4;0;3,02
Rognon, boeuf, cru;95,9;17,1;0,9;2,65
Rognon, porc, cru;97,9;16,4;1,1;3,13
Rognon, agneau, cru;94,1;14,7;1,13;3,43
Rognon, veau, cru;86,1;16;0,2;2,36
Tripes, boeuf, crues;81,5;12,1;0;3,69
Sang, boeuf, cru;82,1;19,5;0,8;0,12
Gesier, poulet, cru;105;17,3;0,6;3,75
Charcuterie (aliment moyen);238;19,7;1,47;17,1
Jambon persille en gelee;152;19;0,48;7,9
Jambon de porc e cuire ou Jambon e retir/cuire au four;161;19,9;0;9,08
Filet de bacon;118;23,1;0,7;2,6
Jambon cuit, fume;135;20;0,79;5,8
Jambon cuit, superieur;125;20,8;0,81;4,28
Jambon cuit, superieur, avec couenne;137;20,2;0,91;5,82
Jambon cuit, superieur, decouenne;117;20,5;0,77;3,52
Jambon e l'os braise;238;21,6;0,3;16,8
Jambon cuit, superieur, decouenne degraisse;119;20,3;1,03;3,66
Jambon cuit, superieur, e teneur reduite en sel;121;20,8;0,74;3,83
Jambon cuit, choix;125;19,5;1,7;4,5
epaule de porc, cuite, choix, decouennee degraissee;121;18;1,93;4,5
Jambon cuit, choix, avec couenne;137;19,4;0,55;6,3
Jambon cuit, choix, decouenne degraisse;114;19,6;1,61;3,24
Rond de jambon cuit;182;20,3;1,4;10,6
Des, allumettes, repe ou hache de jambon;121;17,9;2,08;4,46
epaule de porc, cuite, standard, decouennee degraissee;123;13,7;3,58;5,98
Jambon cuit, de Paris, decouenne degraisse;115;20;1,08;3,42
Des, allumettes, repe ou hache de jambon de volaille;132;18;1,58;5,88
Jambonneau, cuit;162;23,2;0,4;7,52
Jambon de poulet ou Blanc de poulet en tranche;106;20,7;1,39;1,79
Jambon de dinde ou Blanc de dinde en tranche;104;20,9;1,29;1,67
Jambon cru;225;25,9;0,76;13,2
Jambon cru, fume;246;24,2;0,98;16,1
Jambon sec, decouenne, degraisse;192;26,3;0,3;9,5
Jambon cru, fume, allege en matiere grasse;142;27,7;0,1;3,4
Jambon de Bayonne;228;28;0,63;12,6
Jambon sec;230;28,7;0,48;12,6
Jambon sec de Parme;248;27,2;0,3;15,4
Jambon sec Serrano;235;30,4;0,76;12,3
Coppa;284;25;1;20
Pancetta ou Poitrine roulee seche;342;20,2;0,75;28,8
Saucisson sec;418;24,2;2,41;34,5
Saucisson sec pur porc;417;28,7;1,79;32,3
Saucisson sec pur porc, qualite superieure;366;27,7;1,65;27,6
Rosette ou Fuseau;380;24,2;1,79;30,7
Saucisse seche;451;27,3;1,7;37,1
Saucisson sec aux noix et/ou noisettes;477;27,7;1,78;39,7
Chipolata, cuite;282;18,8;0,8;22,4
Saucisse de Toulouse, cuite;274;18,8;0;22,1
Chair e saucisse, crue;323;14,7;0,6;29,1
Chair e saucisse, pur porc, crue;273;15,4;5,25;21,2
Farce porc et boeuf, crue;309;11,8;4,4;26,5
Saucisse de Morteau;397;16;1;36,6
Saucisse de Montbeliard;319;17,3;1;27,3
Saucisse de Morteau, bouillie/cuite e l'eau;323;15,2;0;29,1
Saucisse de Toulouse, crue;327;13,2;1;30
Chipolata, crue;253;15,8;1;20,6
Saucisse de volaille, faeon charcutiere;231;16,8;1,19;17,7
Saucisse de volaille, type Knack;236;14;1,82;18,9
Saucisse de Francfort;271;13,7;1,24;23,4
Merguez, crue;316;13,5;2,5;28
Merguez, boeuf et mouton, cuite;283;19,8;1,8;21,8
Merguez, boeuf et mouton, crue;315;14;2,8;27,6
Saucisse de foie;374;11,7;0,9;35,9
Saucisse de Strasbourg ou Knack;291;12,4;1,39;25,9
Saucisse cocktail;290;12,7;1,46;25,9
Saucisse de jambon pur porc;224;15,7;1;17,5
Saucisse (aliment moyen);281;17,3;0,88;23
Confit de foie de porc;346;16;14,1;25
Confit de foie de volaille;356;14;7,42;30
Pete au poivre vert;358;10,1;1,45;34,6
Pete ou terrine de campagne;323;15,5;1,5;28,2
Pete breton;363;11;2,88;34
Terrine de canard;320;13,2;4,44;27,1
Pete de lapin;247;16,3;0,00027;20,2
Terrine de lapin;281;16,5;5,67;21,2
Pete de gibier;284;15;4;23
Pete ou terrine aux champignons (forestier);329;12,6;5,93;28,1
Pete de foie de porc, superieur;341;13;2,4;31
Pete de foie de porc;355;10,8;2,91;33,3
Mousse de foie de porc superieure ou Creme de foie;322;11,1;10,3;26,1
Mousse de foie de porc;287;12;3,39;24,9
Mousse de canard;395;10,1;7,07;36,1
Pete de foie de volaille;269;13,8;1,96;22,9
Pete de foie d'oie;459;11,4;4,67;43,8
Pete (aliment moyen);325;13,6;4,61;27,9
Pete en croete;292;11;22,9;17,1
Rillettes traditionnelles de porc;390;14,3;0,2;36,9
Rillettes pur porc;414;16,7;0,13;38,3
Rillettes de Tours;522;18;traces;50
Rillettes du Mans;420;15,6;4,7;37,6
Rillettes pur oie;417;14,7;traces;39,8
Rillettes de canard;377;15,3;1,03;34,6
Rillettes d'oie;364;14,9;0,99;33,4
Rillettes de poulet;340;16,4;0,49;30,3
Quenelle de veau, en sauce;165;3,52;15,6;9,5
Quenelle de volaille, crue;187;9,3;14,1;10,1
Quenelle de volaille, en sauce;138;3,55;10,3;8,92
Quenelle de poisson, en sauce;135;3,79;10,5;8,51
Quenelle de poisson, crue;245;8,1;23,6;12,7
Quenelle nature, crue;217;7,68;14,8;13,7
Confit de canard, viande (cuisse), sans peau, rechauffe;195;32;traces;7,4
Confit de canard;273;25,7;0,15;18,8
Canard, magret fume;364;21,9;0,55;30,5
Foie gras, canard, entier, cuit;535;8,41;2,32;54,6
Foie gras, canard, bloc, sans morceaux;482;5,75;2,1;50
Foie gras, canard, bloc, 30% de morceaux;489;6,88;2,43;50,1
Foie gras, canard, bloc, 50% de morceaux;479;6,39;2;49,5
Foie gras de canard, cru;600;5,94;1,41;63,4
Foie gras, canard, bloc (aliment moyen);489;6,88;2,43;50,1
Galantine (aliment moyen);279;15,2;1,57;23,4
Roulade de porc pistachee;258;17,7;0,7;20,2
Jambon en croete;193;14,1;17,8;7
Fromage de tete;173;14,1;0,2;12,9
Museau de porc vinaigrette;185;8,22;1,02;16,3
Museau de boeuf;151;26,2;0;5,17
Andouille;211;18,4;0,3;15,1
Andouille de Guemene;234;18;traces;18
Andouille, rechauffee e la poele;271;22,5;0;20
Andouille de Vire;238;19;traces;18
Andouillette, e cuire;227;18,8;1;16,3
Andouillette, sautee/poelee;303;24,5;1;22,3
Andouillette de Troyes, e cuire;254;19,7;0,5;19
Boudin noir, e cuire;313;12,2;4,5;27,1
Boudin noir, saute/poele;246;11,9;3,78;20,3
Boudin, saute/poele (aliment moyen);246;11,3;4,02;19,4
Boudin blanc truffe, e cuire;227;11,3;4,8;17,8
Museau de boeuf en vinaigrette;167;11,3;1;13,1
Lardon nature, cru;270;16,6;1,01;22,1
Poitrine de porc, fumee, crue;303;15,6;0,79;26,1
Bresaola;165;31,6;0;4,3
Lardon nature, cuit;324;23,8;2;24,5
Corned-beef, appertise;188;23,1;< 0,1;10,5
Oreille de porc demi-sel;228;22,5;0,6;15,1
Pied de porc demi-sel;137;11,6;0,01;10
Poitrine de porc demi-sel;268;16,8;0,75;22
Lardon fume, cru;275;16,7;0,96;22,6
Lardon fume, cuit;261;14,7;0,8;22,1
Viande des Grisons;209;38,9;1;5,47
Hache de volaille;137;17,7;3,5;5,68
Reti de volaille en salaison, cuit;110;22;1,28;1,73
Chorizo;433;23,5;3,05;36,1
Chorizo superieur, doux ou fort, type saucisse seche;476;20,9;2,6;41,9
Chorizo superieur, doux ou fort, type charcuterie en tranches;322;22,6;2,1;23,9
Salami;451;17,7;1,05;41,8
Salami pur porc;400;22,6;1,6;33,7
Salami porc et boeuf;351;21,5;1,56;28,8
Salami type danois;459;17;1,35;42,9
Saucisson e l'ail;280;15;1,63;23,6
Saucisson cuit pur porc;322;13,8;1,3;29
Saucisson de Paris;346;12,5;0,6;32,7
Saucisson de Paris, fume;288;13,7;0,6;25,6
Saucisson brioche, cuit;309;14,7;22,6;17,4
Cervelas;278;11,9;1,56;24,8
Cervelas obernois;305;13;1;27,5
Cervelas e l'ail, pur porc;297;12,5;0,2;27,4
Mortadelle;305;15;1,4;26,7
Mortadelle, pur porc;298;14,8;1,55;25,8
Mortadelle, porc et boeuf;297;16,4;0,7;25,4
Mortadelle pistachee pur porc;320;14,4;1,16;28,2
Specialite vegetale type jambon cuit, preemballee;242;29,7;4,13;11,1
Specialite vegetale type pete, preemballee;197;3,56;9,45;15,4
Saucisse vegetale au tofu (convient aux veganes ou vegetaliens), preemballee;231;13,4;5,69;16,3
Quenelle au tofu (ne convient pas aux veganes ou vegetaliens), preemballee;136;11;4,97;7,2
Saucisse vegetale au ble ou seitan, preemballe;250;27,1;7,53;10,5
Cordon bleu de volaille, preemballe;226;14;14,6;12,2
Boeuf, boulettes cuites;217;18,5;5,65;13,3
Veau, escalope panee, cuite;271;22,9;12,6;14,1
Boulettes au porc et au boeuf (e la suedoise), preemballees, crues;260;14,4;7,78;18,6
Boulettes au boeuf et e l'agneau (type kefta), preemballees, crues;247;15,7;9,46;15,7
Brochette de volaille;195;18,6;0,8;13
Brochette de boeuf;191;17,1;1,02;12,9
Brochette mixte de viande;208;19,7;1,02;13,8
Volaille, croquette panee ou nuggets;239;13,1;16,2;13,2
Brochette d'agneau;112;12,6;2,54;5,1
Brochette de porc, crue;131;15,6;2,1;6,5
Poulet, croquette panee ou nuggets;250;15,6;19,4;11,6
Poulet, manchons marines, retis/cuits au four;213;22,4;2,1;12,6
Poulet, escalope panee;339;7,25;21,7;24
Dinde, escalope viennoise ou milanaise ou escalope panee;211;14,1;13,5;10,9
Saumon, cuit, sans precision (aliment moyen);205;23;0;12,5
Cabillaud, cuit, sans precision (aliment moyen);98,9;23,1;0;0,73
Hareng fume, filet, doux;162;18,1;0;9,9
Carrelet ou plie, cuit e la vapeur;93;19;traces;1,89
eglefin, cuit e la vapeur;89;20,9;traces;0,6
Hareng, frit;201;23;traces;12,1
Hareng fume, au naturel;173;16,5;0,5;11,7
Hareng, grille/poele;189;21,6;traces;11,4
Lieu noir, cuit;99,7;23,1;traces;0,81
Limande-sole, cuite e la vapeur;90,1;17,4;traces;2,27
Maquereau, reti/cuit au four;228;21,5;traces;15,8
Maquereau, frit;186;23,6;traces;10,2
Merlan, frit;125;23,1;traces;3,61
Merlan, cuit e la vapeur;98,3;23;traces;0,7
Cabillaud, reti/cuit au four;94,6;22,3;traces;0,6
Morue, salee, bouillie/cuite e l'eau;113;26;traces;1,01
Cabillaud, cuit e la vapeur;106;24,5;traces;0,95
Mulet, reti/cuit au four;143;24,8;traces;4,86
Raie, retie/cuite au four;96,3;23;traces;0,5
Roussette ou petite roussette ou saumonette, cuite;256;25,4;traces;17,2
Saumon fume;178;22;0,91;9,49
Saumon, cuit e la vapeur;195;23;traces;11,5
Thon, reti/cuit au four;136;29,9;traces;1,83
Sole, cuite e la vapeur;94,6;20,3;traces;1,48
Sole, retie/cuite au four;78,2;15,7;traces;1,69
Sole, bouillie/cuite e l'eau;69;15;traces;1
Sole, frite;72,2;15,8;traces;1
Raie, cuite au court-bouillon;97,8;23,2;traces;0,57
Lotte ou baudroie, grillee/poelee;98,2;23;traces;0,68
Maquereau, fume;294;18,8;0;24,3
Haddock (fume) ou eglefin fume;97;22,6;0;0,73
Espadon, reti/cuit au four;266;28,7;traces;16,9
Turbot, reti/cuit au four;118;21,3;traces;3,64
Merlu, cuit e l'etouffee;112;21,2;traces;3
eglefin, grille/poele;84,9;20;traces;0,55
Sardine, grillee;194;25,1;traces;10,4
Vivaneau, cuit;121;26,3;traces;1,72
Rascasse, cuite e la vapeur;126;24,6;traces;3,1
Lieu ou colin d'Alaska, fume;81,3;18,3;0;0,9
Lieu jaune ou colin, cuit;100;24,4;traces;< 0,5
Saumon, cuit au micro-ondes, elevage;200;24,2;traces;11,4
Saumon, bouilli/cuit e l'eau, elevage;193;25;traces;10,3
Dorade grise, ou daurade grise, ou griset, retie/cuite au four;121;22,9;traces;3,3
Saumon, grille/poele;223;25,5;traces;13,5
Saumon, elevage, reti/cuit au four;210;22,1;traces;13,5
Hareng fume, e l'huile;168;15,1;2;11
Julienne ou Lingue, cuite;105;24,5;traces;0,82
Fletan du Groenland ou fletan noir ou fletan commun, cuit e la vapeur;173;17,3;traces;11,6
Sole, poelee;96,7;23,6;traces;< 0,5
Anguille, cuite (aliment moyen);213;22,1;0;13,8
Anguille, retie/cuite au four;229;23,6;traces;15
Anguille, bouillie/cuite e l'eau;197;20,5;traces;12,7
Brochet, reti/cuit au four;100;23,1;traces;0,88
Carpe, retie/cuite au four;151;21,6;traces;7,17
Perche, retie/cuite au four;119;22,1;traces;3,42
Truite, retie/cuite au four;183;26,6;traces;8,47
Truite, cuite e la vapeur;99,4;19;traces;2,6
Truite arc en ciel, elevage, retie/cuite au four;143;21,5;traces;6,33
Truite arc en ciel, elevage, cuite e la vapeur;117;20;traces;4,14
Panga, Pangasius, ou poisson-chat du Mekong, filet, cuit;79;17,5;traces;1
Truite d'elevage, fumee;180;23,4;0,69;9,27
Bar commun ou loup, reti/cuit au four;147;22,2;traces;6,51
Dorade (Daurade) royale, cuite au four;148;23,6;traces;5,9
Bar raye ou bar d'Amerique, cru;113;20,3;traces;3,58
Lieu ou colin d'Alaska, cru;70,8;16,3;traces;0,61
Fletan de l'Atlantique ou fletan blanc, cru;96,5;21,2;traces;1,31
Hareng, cru;176;17,7;traces;11,7
Lotte ou baudroie, crue;67,2;15,1;traces;0,74
Saumon, cru, elevage;194;20,5;traces;12,4
Turbot sauvage, cru;91,5;17,2;traces;2,54
Cabillaud, cru;77,6;18,1;traces;0,57
Merlu, cru;82,6;17,6;traces;1,35
Lieu noir, surgele, cru;82,4;19,8;traces;0,37
Merlu, filet, surgele, cru;82;15,1;traces;2,4
Maquereau, cru;194;18,1;traces;13,5
Raie, crue;89,9;21,4;traces;0,47
Thon, cru;144;24;traces;5,38
Carrelet ou plie, cru;88,6;20;traces;0,94
Limande, crue;80,8;18,3;traces;0,85
Sole, crue;77,3;18;traces;0,6
Rascasse, crue;87,6;18,9;traces;1,33
Thon albacore ou thon jaune, cru;108;25;traces;0,94
Sardine, crue;163;19,5;traces;9,48
Thon listao ou Bonite e ventre raye, cru;97,1;22;traces;1,01
Thon rouge, cru;155;23,3;traces;6,81
Bar commun ou loup, cru, sans precision;82,5;19,1;traces;0,7
Roussette ou petite roussette ou saumonette, crue;97,8;23,3;traces;0,5
Bar ou loup de l'Atlantique, cru;89,9;16,6;traces;2,61
Thon germon ou thon blanc, cru;121;27,2;traces;1,37
Anchois commun, cru;129;18,6;traces;6,07
Dorade royale, ou daurade ou vraie daurade, crue, sauvage;93,2;18,1;traces;2,31
Espadon, cru;130;18,9;traces;5,97
eperlan, cru;85,4;17,5;traces;1,7
Cardine franche, crue;93,4;19,9;traces;1,53
Rouget-barbet de roche, cru;158;18,4;traces;9,37
Dorade royale ou daurade ou vraie daurade, crue, elevage;129;20,9;traces;5,1
Mulet, cru;113;20,1;traces;3,62
Truite de mer, crue;111;19,6;traces;3,63
Merlan, cru;79,3;18,8;traces;0,47
Morue, salee, seche;206;47,6;traces;1,67
Dorade grise, ou daurade grise, ou griset, crue;130;20,5;traces;5,27
Bogue, crue;90;17,9;traces;2,03
Bonite, crue;161;22,3;traces;8,01
Maquereau espagnol ou maquereau blanc ou billard, cru;135;22,1;traces;5,15
Dente, cru;99,3;17;traces;3,5
Saint-Pierre, cru;86,7;19,9;traces;0,8
Grondin, cru;94;19;traces;2
Corb, cru;87,2;20;traces;0,8
Capelan, cru;90;18,7;traces;1,71
Dorade rose, ou daurade rose, crue;102;21;traces;2
Rouget-barbet de roche, vapeur;143;24,1;traces;5,2
Saupe, crue;94,5;18;traces;2,5
Chinchard, cru;116;19;traces;4,42
eglefin, cru;72,3;17,3;traces;0,35
Congre, cru;115;18,3;traces;4,6
Grenadier (de roche), cru;68,9;15,4;traces;0,81
Lieu jaune ou colin, cru;75,5;17,7;traces;0,51
Julienne ou Lingue, crue;80,8;19,2;traces;0,44
Tacaud, cru;81,6;19,7;traces;0,33
Lieu noir, cru;82,5;18,8;traces;0,8
Limande-sole, crue;80,6;17;traces;1,4
Foie de morue, cru;619;5;traces;66,6
Vivaneau, cru;94,1;20,5;traces;1,34
Sabre, cru;125;18;traces;5,9
Fletan du Groenland ou fletan noir ou fletan commun, cru;168;13,5;traces;12,7
Carangue, cru;104;19,9;traces;2,7
Coulirou, cru;70,9;17,5;traces;0,1
Saumon, cru, sauvage;166;21;traces;9,17
Requin, cru;109;20,8;traces;2,91
Orphie commune, crue;133;20;traces;5,91
Lompe, crue;168;10;traces;14,2
Breme, cru;104;16,9;traces;4
Omble chevalier, cru;103;19,8;traces;2,7
