alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Viande rouge, cuite (aliment moyen);195,008;26;0,027;10,1
Agneau, collier, cru;195,300;18;0,000;13,7
Confit de canard, viande (cuisse), sans peau, réchauffé;194,600;32;0,000;7,4
Brochette de volaille;194,600;18,6;0,8;13
Saumon, cuit à la vapeur;195,500;23;0,000;11,5
Boeuf, queue, bouillie/cuite à l'eau;195,700;28;0,000;9,3
Poire belle Hélène;191,090;2,74;23,5;9,57
Nem ou Pâté impérial, au poulet, préemballé, cuit;188,740;8,06;20,9;8,1
Agneau, épaule, maigre, rôtie/cuite au four;196,800;24,9;0;10,8
Lapin, viande braisée;197,290;30,4;0;8,41
Spécialité végétale type pâté, préemballée;190,640;3,56;9,45;15,4
Anguille, bouillie/cuite à l'eau;196,300;20,5;0,000;12,7
Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté;194,700;10,8;30,9;3,1
Sandwich baguette, thon, maïs, crudités, préemballé;189,750;8,87;25;6,03
Boeuf, entrecôte, partie maigre, grillée/poêlée;198,300;25,5;0,000;10,7
Porc, filet, maigre, en rôti, cuit;197,710;28,3;0;9,39
Boeuf, collier, cru;197,820;20,1;0,78;12,7
Porc, échine, crue;198,400;18;0,1;14
Anchois, filets roulés aux câpres, semi-conserve, égoutté;197,820;24,8;1,48;10,3
Panna cotta, avec préparations de fruits ou caramel, rayon frais;187,560;2,74;14,9;13
Fromage à pâte molle et croûte lavée, allégé environ 13% MG;199,800;21,6;0,000;12,6
Pâtes fraîches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);193,490;7,98;25,7;6,53
Rillettes de thon, préemballées;196,400;16,4;1,65;13,8
Café décaféiné, instantané, non sucré, prêt à boire;2,098;0,12;0,4;0,002
Tomate grappe, crue;14,120;0,5;3,03;0,000
Jus de tomate, pur jus, salé à 6g/L;17,750;0,88;3,31;0,11
Endive, crue;16,080;1,19;2,83;0,000
Tomate ronde, crue;16,360;0,5;3,59;0,000
Chou-fleur, cuit;16,940;1,6;1,6;0,46
Pizza aux fruits de mer, préemballée;199,450;10,3;24,6;6,65
Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%);217,240;2,31;51,1;0,4
Gnocchi à la semoule, cru;196,200;6,2;37;2,6
Porc, escalope de jambon, cuite;199,800;36;0,000;6,2
Saumon, cuit au micro-ondes, élevage;199,400;24,2;0,000;11,4
Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens), préemballé;185,800;10,2;13,3;10,2
Veau, filet, rôti/cuit au four;200,900;23,4;0,5;11,7
Boeuf, basse-côte, crue;200,600;19;1,45;13,2
Hareng, frit;200,900;23;0,000;12,1
"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux";196,700;0,000;6,2;19,1
Sardine, à l'huile d'olive, appertisée, égouttée;202,240;24,3;1,06;11,2
Boeuf, queue, crue;203,020;21,5;0,23;12,9
Galette ou pavé au soja et fromage, préemballé;199,520;16,8;6,08;12
Mouton, épaule, crue;204,100;18,3;0,1;14,5
Mouton, pied, cru;203,800;18,1;0,000;14,6
Mouton, tête, crue;203,800;18,1;0,000;14,6
Oeuf, au plat, frit, salé;204,160;14,3;0,74;16
Kombu royal (Saccharina latissima), séchée ou déshydratée;145,230;10,3;23,6;1,07
Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée;200,900;9,54;25,7;6,66
Avocat, pulpe, cru;194,960;1,56;0,83;20,6
Porc, viande, cuite (aliment moyen);205,380;29,1;0,24;9,78
Agneau, côte découverte, crue;205,720;16,3;1,38;15
Saumon, cuit, sans précision (aliment moyen);204,500;23;0;12,5
Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée;202,800;8,5;14,3;12,4
Bouchée à la reine, au poisson et fruits de mer;204,680;6,72;13,4;13,8
Porc, carré, cuit;205,850;34,1;0,6;7,45
Caille, viande et peau, cuite;205,300;26,8;0;10,9
Morue, salée, sèche;205,430;47,6;0,000;1,67
Limande-sole, panée, frite;206,200;16,7;11,9;10,2
Thon à l'huile de tournesol, entier, appertisé, égoutté;206,040;23,3;0,76;12,2
Laitue de mer (Ulva sp.), séchée ou déshydratée;137,070;15,9;13,8;2,03
Veau, jarret, braisé ou bouilli;207,470;37,4;0,000;6,43
Sardine, à l'huile, appertisée, égouttée;207,560;24,4;0,49;12
Maquereau, filet au vin blanc, appertisé, égoutté;207,100;17,8;2,25;14,1
Mousse à la crème de marrons, préemballée;204,780;2,17;34,4;6,5
Galette ou pavé au blé (seitan) et légumes, préemballé;197,100;12,5;20,8;7,1
Porc, palette, crue;208,100;24,8;0,000;12,1
Agneau, viande, cuite (aliment moyen);207,844;28,1;0,011;10,6
Veau, steak haché 15% MG, cru;207,800;18,2;0,000;15
Brochette mixte de viande;207,080;19,7;1,02;13,8
Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée;199,800;12,7;15,2;9,8
Boeuf, steak haché 15% MG, cru;209,580;20,2;0,47;14,1
Viande des Grisons;208,830;38,9;1;5,47
Navet, bouilli/cuit à l'eau;15,920;0,75;3,23;0,000
Soupe à la volaille et aux vermicelles, déshydratée reconstituée;20,730;0,75;3,87;0,25
Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire;21,640;1,39;2,31;0,76
Soupe à la tomate et aux vermicelles, déshydratée reconstituée;20,980;0,63;4,21;0,18
Chou vert, bouilli/cuit à l'eau;13,840;1,63;1,83;0,000
Vinaigre de vin rouge;0,000;0,000;0,000;0
Champignon, tout type, cru;19,070;2,37;1,88;0,23
Jus de tomate, pur jus (aliment moyen);19,660;0,88;3,72;0,14
Jus de légumes, pur jus (aliment moyen);22,690;0,72;4,66;0,13
"Boisson concentrée à diluer, sans sucres ajoutés, avec édulcorants, type ""sirop 0%""";11,040;0,000;2,76;0,000
Fenouil, cru;14,520;1;2,63;0,000
Carotte, appertisée, égouttée;18,080;0,67;3,4;0,2
Boeuf, steak haché 10% MG, cuit;210,600;26,1;0;11,8
Poulet éviscéré sans abats, cru;210,300;18,6;0,000;15,1
Saumon, élevage, rôti/cuit au four;209,900;22,1;0,000;13,5
Falafel ou Boulette de pois-chiche et/ou fève, préemballé;197,520;7,38;17,7;10,8
Galette de céréales aux légumes (sans soja), préemballé;201,640;5,31;28;7,6
Boulette végétale au soja et/ou blé, préemballée;197,720;17,6;7,98;10,6
Pizza kebab, préemballée;207,090;9,4;26,6;7,01
Blé germé, cru;206,990;7,49;41,4;1,27
Porc, côte, grillée;211,100;29,6;0;10,3
Andouille;210,700;18,4;0,3;15,1
Dinde, escalope viennoise ou milanaise ou escalope panée;208,500;14,1;13,5;10,9
Hareng mariné ou rollmops;211,000;13,7;8;13,8
Marsala;112,000;0,1;27,9;0
Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté;127,900;7,22;18,5;2,78
Porc, maigre 90/10, cru;212,060;18,8;0,24;15,1
Omelette norvégienne;212,100;3,6;34,8;6,5
Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté;210,600;11,6;28,9;5,4
Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit;207,360;7,44;23,7;9,2
Frites de pommes de terre, surgelées, rôties/cuites au four;204,800;3,75;32,6;6,6
Pomme de terre sautée/poêlée à la graisse de canard;206,660;2,54;21,9;12,1
Poulet, cuisse, viande et peau, rôtie/cuite au four;213,300;25,9;2;11,3
Poulet, viande et peau, rôti/cuit au four;212,920;28,9;2,1;9,88
Pigeon, viande, rôtie/cuite au four;212,600;23,9;0;13
Poulet, manchons marinés, rôtis/cuits au four;211,400;22,4;2,1;12,6
Anguille, cuite (aliment moyen);212,600;22,1;0;13,8
Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés;213,580;21,5;0,62;13,9
Bouillon de viande et légumes type pot-au-feu, déshydraté;211,900;10,3;17,7;11,1
Pizza aux légumes ou Pizza 4 saisons, préemballée;208,720;8,48;25,7;8
Galette ou pavé au blé et soja (convient aux véganes ou végétaliens), préemballé;195,600;16;8,15;11
Tarte au saumon, préemballée;212,620;8,53;21;10,5
Pizza au poulet, préemballée;209,920;9,95;27,5;6,68
Pan bagnat;211,320;7,95;30,3;6,48
Brick à la pomme de terre, fait maison, cuit;212,000;3,25;19,6;13,4
Poule, viande et peau, crue;215,000;17,8;0,4;15,8
Tarte aux légumes, préemballée;212,500;5;21,8;11,7
Nem ou Pâté impérial;211,120;6,48;21,1;11,2
Édulcorant à l'aspartame, en pastilles;302,600;6,35;69,3;0
Pizza champignons fromage, préemballée;212,500;7,8;31,6;6,1
Muffin anglais, complet, petit pain spécial, préemballé;198,430;12,5;32,9;1,87
Gibier à plumes, viande, cuit (aliment moyen);217,400;25,1;0;13
Quenelle nature, crue;213,220;7,68;14,8;13,7
Boeuf, boulettes cuites;216,300;18,5;5,65;13,3
Maquereau, filet sauce moutarde, appertisé, égoutté;215,360;20,8;1,09;14,2
Kombu breton (Laminaria digitata), séchée ou déshydratée;150,610;9,51;25,6;1,13
Pizza jambon fromage, préemballée;213,410;10,3;28;6,69
Tarte à la tomate, préemballée;213,080;5,17;19,3;12,8
Pastilla au poulet, préemballée;215,400;12,3;14,1;12,2
Pomme de terre duchesse, surgelée, cuite;208,260;3,44;29,5;8,5
Pain perdu;216,050;6;29;8,45
Caviar de tomates;208,760;2,19;6,8;19,2
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, cuites;210,460;7,94;27,8;7,5
Veau, épaule, braisée ou bouillie;218,860;36,4;0,000;8,14
Chayote ou christophine ou chouchou, pulpe avec pépins, cuite à la vapeur, prélevée à La Réunion (Sechium edule);16,520;0,63;3,5;0,000
Soupe asiatique, avec pâtes, préemballée à réchauffer;20,900;0,7;3,4;0,5
Coriandre, fraiche;16,680;2,13;0,87;0,52
Vinaigre;3,540;0,04;0,62;0,1
Pizza au thon, préemballée;215,420;10,8;23,3;8,78
Coupe glacée type café ou chocolat liégeois;216,560;3,04;28,6;10
Sandwich baguette, crudités diverses, mayonnaise;217,260;6,54;30;7,9
Chapon, viande et peau, rôti/cuit au four;221,300;29;0;11,7
Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre;217,820;10,1;30,9;5,98
Agneau, gigot, braisé;222,070;35,2;0,000;9,03
Canard, magret, grillé/poêlé;222,000;26,7;0,000;12,8
Pigeon, cru;222,400;18,9;0,7;16
Beignet de crevette;220,000;6,5;26;10
Boeuf, steak ou bifteck, cru;222,600;19,2;0;16,2
Saumon, grillé/poêlé;223,500;25,5;0,000;13,5
Saucisse de jambon pur porc;224,300;15,7;1;17,5
Oeufs de saumon, semi-conserve;223,700;30,8;1,5;10,5
Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée;154,170;8,38;24,2;2,65
Ao-nori (Enteromorpha sp.), séchée ou déshydratée;152,230;13,7;18,8;2,47
Mouton, gigot, cru;225,000;18;0,000;17
Jambon cru;225,440;25,9;0,76;13,2
Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, cuites;221,900;10;26,8;8,3
Cordon bleu de volaille, préemballé;224,200;14;14,6;12,2
Bûche glacée;223,480;2,47;30;10,4
Son de maïs;68,320;8,36;6,65;0,92
Saumon farci, préemballé;222,600;18,8;0,4;16,2
Pizza au fromage ou Pizza margherita, préemballée;222,880;8,93;29,6;7,64
Pizza à la viande, type bolognaise, préemballée;222,270;10,3;27,2;8,03
Ris, agneau, cuit;227,100;22,8;0;15,1
Andouillette, à cuire;225,900;18,8;1;16,3
Boudin blanc truffé, à cuire;224,600;11,3;4,8;17,8
Maquereau, filet sauce tomate, appertisé, égoutté;225,260;17,7;1,94;16,3
Thon à l'huile de tournesol, miettes, appertisées, égouttées;226,800;23,4;0;14,8
Mozzarella au lait de vache;228,300;16,5;0,75;17,7
Dulse (Palmaria palmata), séchée ou déshydratée;171,170;17,2;22,6;1,33
Muffin anglais, petit pain spécial, préemballé;217,720;10,6;39,6;1,88
Jambon de Bayonne;227,920;28;0,63;12,6
Oreille de porc demi-sel;228,300;22,5;0,6;15,1
Maquereau, rôti/cuit au four;228,200;21,5;0,000;15,8
Eau de vie de vin, type armagnac, cognac;4,000;0;1;0
Chewing-gum, sans sucre;319,210;0,69;78,1;0,45
Confiture ou Marmelade, tout type de fruits, teneur en sucre inconnue (aliment moyen);230,090;0,37;56,5;0,29
Pruneau, sec;231,720;1,63;55,4;0,4
Anguille, rôtie/cuite au four;229,400;23,6;0,000;15
Eau de vie;1,480;0;0,37;0
Courgette, pulpe et peau, rôtie/cuite au four;18,520;1,5;3,13;0,000
Haricot vert, appertisé, égoutté;16,390;1,33;2,07;0,31
Brocoli, bouilli/cuit à l'eau, fondant;17,380;2,19;1,03;0,5
Champignon, oronge vraie, crue;20,500;2;2,45;0,3
Jus de tomate, pur jus, salé à 3 g/L;21,570;0,88;4,13;0,17
Brocoli, bouilli/cuit à l'eau, croquant;18,520;2,5;1,23;0,4
Chou blanc, bouilli/cuit à l'eau;16,920;1;3,23;0,000
Endive, rôtie/cuite au four;22,040;1,13;4,38;0,000
Samossa ou Samoussa, préemballé, cuit;226,620;9,33;16,5;13,7
Oie, viande, rôtie/cuite au four;230,300;29;0;12,7
Jambon sec;230,120;28,7;0,48;12,6
Dessert glacé, type sundae;227,980;2,57;32,6;9,7
Préparation à base de fromage(s) pour fondue savoyarde, préemballée;230,000;16,2;2,6;17,2
Pizza au saumon, préemballée;226,220;10,1;26,7;8,78
Boeuf, steak haché, cuit (aliment moyen);231,107;23,8;0,0018;15,1
Boeuf, entrecôte, crue;231,500;19,4;0;17,1
Saucisse de volaille, façon charcutière;231,260;16,8;1,19;17,7
Saucisse végétale au tofu (convient aux véganes ou végétaliens), préemballée;223,060;13,4;5,69;16,3
Tomme ou tome, allégée en matière grasse, environ 13% MG;232,900;31;0,000;12,1
Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé;225,120;9,18;23,7;10,4
Anguille, crue;231,800;16,1;0,000;18,6
Thé, feuille;120,800;19,4;6,3;2
Base de pizza tomatée;230,300;6,9;44,6;2,7
Pizza (aliment moyen);227,510;10,7;27,3;8,39
Focaccia, garnie;228,750;8;29,5;8,75
Sandwich grec ou Kebab, pita, crudités;228,500;15,2;17,4;10,9
Toasts ou Canapés salés, garnitures diverses, préemballés;227,260;9,09;17,8;13,3
Veau, collier, braisé ou bouilli;233,200;34,9;0,000;10,4
Bouillon de volaille, déshydraté;231,900;11,3;20,8;11,5
Andouille de Guéméné;234,000;18;0,000;18
Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté;173,100;16,6;21,5;2,3
Langue, boeuf, cuite;235,200;23,7;0;15,6
Jambon sec Serrano;235,340;30,4;0,76;12,3
Boeuf, joue, braisée ou bouillie;236,180;39,2;0,000;8,82
Agneau, selle, crue;235,600;17,5;0;18,4
Saucisse de volaille, type Knack;233,380;14;1,82;18,9
Nem ou Pâté impérial, au porc, préemballé, cuit;232,220;6,88;22,6;12,7
Langue, veau, cuite;237,000;21;0;17
Porc, travers, cru;236,400;18;0,6;18
Rillettes de saumon, préemballées;234,000;15,1;2;18,4
Beignet de viande, volaille ou poisson, fait maison, cru;236,300;18,7;10;13,5
Charcuterie (aliment moyen);238,580;19,7;1,47;17,1
Jambon à l'os braisé;238,800;21,6;0,3;16,8
Andouille de Vire;238,000;19;0,000;18
Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG;240,200;29;0,000;13,8
Édulcorant à base d'extrait de stévia;393,800;0,000;98;0,2
Abricot, dénoyauté, sec;252,420;2,88;59,1;0,5
Boeuf, steak haché 15% MG, cuit;239,300;23,6;0;16,1
Faisan, viande, rôtie/cuite au four;238,500;32,4;0;12,1
Volaille, croquette panée ou nuggets;236,000;13,1;16,2;13,2
Meloukhia, feuilles de corète séchées, en poudre;159,000;23;12,7;1,8
Haricot de mer (Himanthalia elongata), séchée ou déshydratée;177,270;10,1;28,3;2,63
Soupe à l'oignon, déshydratée reconstituée;23,400;0,58;4,37;0,4
Champignon, morille, crue;17,900;3,16;0,1;0,54
Champignon, tout type, appertisé, égoutté;20,330;1,87;2,56;0,29
Pizza au speck ou jambon cru, préemballée;236,470;12,2;25,7;9,43
Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé;233,380;9,82;23,1;11,3
Pain de campagne maison (avec farine pour machine à pain);226,820;7,98;46,7;0,9
Pâte à pizza crue;236,050;7,05;44,2;3,45
Boeuf, braisé;240,000;32,1;0;12,4
Porc, longe, cuite;240,700;27,1;0;14,7
Agneau, côtelette, grillée;239,600;25,7;0,000;15,2
Bouillon de boeuf, déshydraté;239,300;10,2;19,7;13,3
Vanille, extrait alcoolique;9,840;0,05;2,41;0
Galette de céréales au fromage (sans soja), préemballé;231,900;7;27,8;10,3
Tarte à la provençale, préemballée;230,700;5,5;20;14,3
Tiramisu, préemballé;226,800;4,25;30,4;9,8
Agneau, côte filet, crue;241,600;17,6;2,3;18
Spécialité végétale type jambon cuit, préemballée;235,220;29,7;4,13;11,1
Carrelet ou plie, pané, frit;240,240;13,4;8,86;16,8
Fromage fondu en portions ou en cubes environ 20% MG;242,020;10,7;6,38;19,3
Vodka;0,000;0;0;0
Tarte ou Tourte aux poireaux, préemballée;238,140;5,76;21,6;14,3
Sandwich panini, jambon cru, mozzarella, tomates;240,750;14,2;27,2;8,35
Sandwich (aliment moyen);240,750;14,2;27,2;8,35
Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé;236,800;10;23,1;11,6
Croissant au jambon;239,800;7,9;19,2;14,6
Veau, steak haché 20% MG, cru;243,900;16,7;0,4;19,5
Rillettes de poisson, préemballées;243,100;13,9;0,3;20,7
Cannelle, poudre;136,460;3,87;27,5;1,22
Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée;173,060;16,5;18,8;3,54
Tarte épinard chèvre, préemballée;239,520;7,08;22,2;13,6
Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse;237,780;3,12;29,1;12,1
Pain complet ou intégral (à la farine T150);226,920;8,38;44,3;1,8
Basilic, séché;169,030;23;10,1;4,07
Bâtonnet pané soja et blé (convient aux véganes ou végétaliens), préemballée;232,800;16,9;18,8;10
Pizza au chèvre et lardons, préemballée;240,040;10,7;26,9;9,96
Quenelle de poisson, crue;241,100;8,1;23,6;12,7
Crème de cassis;164,000;0;41;0
Hamburger, provenant de fast food;242,360;13,3;28,3;8,44
Sandwich grec ou Kebab, baguette, crudités;242,600;15;23,6;9,8
Jambon cru, fumé;245,620;24,2;0,98;16,1
Boudin noir, sauté/poêlé;245,420;11,9;3,78;20,3
Boudin, sauté/poêlé (aliment moyen);235,880;11,3;4,02;19,4
Rillettes de maquereau, préemballées;246,000;11;1;22
Maquereau, filet grillé, appertisé, nature, égoutté;245,700;19,7;0,55;18,3
Fromage bleu de Bresse allegé environ 15% MG;247,900;27,1;0,000;15,5
Fromage fondu en tranchettes;244,260;14,1;5,34;18,5
Marmelade d'orange;240,800;0,000;59,3;0,4
Confiture de myrtilles (extra ou classique);239,200;0,000;58,9;0,4
Gelée de groseille (extra ou classique);238,400;0,000;59,6;0,000
Escalope panée, soja, blé et fromage, type cordon bleu, préemballée;239,100;15,2;15,1;13,1
Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise;242,350;10;36,3;6,35
Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise;242,910;8,52;30,9;9,47
Poulet, aile, viande et peau, rôti/cuit au four;247,300;23,8;0;16,9
Pâté de lapin;247,001;16,3;0,00027;20,2
Boulettes au boeuf et à l'agneau (type kefta), préemballées, crues;241,940;15,7;9,46;15,7
Confiture d'abricot (extra ou classique);241,500;0,000;59,7;0,3
"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux";247,200;0,4;3,8;25,6
Pizza au chorizo ou salami, préemballée;243,900;10,4;26,5;10,7
Jambon sec de Parme;248,600;27,2;0,3;15,4
Gelée au madère, déshydratée;247,800;44,5;17;0,2
Burger au poulet;245,000;12,7;23,8;11
Bouchée à la reine, garnie (aliment moyen);245,980;6,42;18,4;16,3
Pain au son;233,120;8,03;44,4;2,6
Boeuf, steak haché 20% MG, cru;249,200;17,3;0;20
Confiture ou Marmelade, tout type de fruits (aliment moyen);244,750;0,29;60,2;0,31
Soupe au cresson, déshydratée reconstituée;24,680;0,42;3,95;0,8
Artichaut, fond, appertisé, égoutté;16,880;1,2;3,02;0,000
Champignon, rosé des prés, cru;22,600;2,3;2,45;0,4
Tomate, rôtie/cuite au four;21,720;1;3,53;0,4
Bière sans alcool (<1,2° alcool);20,800;0,31;4,89;0,000
Panaché préemballé (<1° alc.);21,640;0,48;4,93;0,000
Champignon, pleurote, crue;21,480;3,06;1,5;0,36
Saucisse végétale au blé ou seitan, préemballé;233,020;27,1;7,53;10,5
Poulet, croquette panée ou nuggets;244,400;15,6;19,4;11,6
Nuggets soja et blé (convient aux véganes ou végétaliens), préemballé;238,900;15,5;19,7;10,9
Tourte au riesling, préemballée;249,000;10,2;23,7;12,6
Boeuf, paleron, braisé ou bouilli;250,600;36,8;0,2;11,4
Boeuf, côte, crue;251,200;18,7;0,000;19,6
Confiture de fraise (extra ou classique);246,500;0,000;60,5;0,5
Falafel ou Boulette de pois-chiche et/ou fève, frite;237,400;8,25;18,7;14,4
Agneau, épaule, rôtie/cuite au four;252,500;30,5;0,000;14,5
Calmar ou Calamar ou encornet, à la romaine (beignet);249,160;8,69;21,2;14,4
Whisky;0,384;0;0,096;0
Nuggets soja et blé (ne convient pas aux véganes ou végétaliens), préemballé;243,800;14,1;18,5;12,6
Pain, baguette ou boule, de campagne;241,780;7,52;50;1,3
Porc, épaule, cuite;253,200;30;0;14,8
Porc, poitrine, crue;252,500;17;0;20,5
Chipolata, crue;252,600;15,8;1;20,6
Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes;247,200;3,5;34;10,8
Andouillette de Troyes, à cuire;251,800;19,7;0,5;19
Caviar, semi-conserve;253,900;25;0,000;17,1
Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues;248,740;9,4;41,4;5,06
Pizza aux lardons, oignons et fromage, préemballée;251,000;11,2;27,7;10,6
Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise;251,380;12,4;30,6;8,82
Feuilleté au poisson et / ou fruits de mer;249,200;6,55;26,5;13
Brick à l'oeuf, fait maison, cuit;253,700;10,4;12,3;18,1
Poisson, croquette ou beignet ou nuggets, frit;249,700;13,2;18,4;13,7
Omelette au fromage;254,740;17,7;2,56;19,3
Spécialité fromagère non affinée environ 25% MG, type fromage en barquette à tartiner ou coque fromagère;253,500;5,36;4,24;23,9
Sirop à diluer, sucré;250,400;0,000;62,6;0,000
Nori (Porphyra sp.), séchée ou déshydratée;182,670;31,5;10,5;1,63
Pain blanc maison (avec farine pour machine à pain);247,740;7,81;52,1;0,9
Roussette ou petite roussette ou saumonette, cuite;256,400;25,4;0,000;17,2
Rhum;0,000;0;0;0
Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110);245,030;8,68;49,9;1,19
Croissant au jambon fromage, préemballé;254,180;8,92;22;14,5
Roulade de porc pistachée;255,400;17,7;0,7;20,2
Pain pita;250,400;7,53;53;0,92
Poivron vert, cru;16,960;0,81;3,43;0,000
Artichaut, coeur, appertisé, égoutté;16,440;1,8;2,31;0,000
Soupe aux poireaux et pommes de terre, déshydratée reconstituée;25,570;0,63;4,84;0,41
Tomate, pulpe, appertisée;19,320;1,2;3,63;0,000
Chou-fleur, cru;22,060;1,81;2,13;0,7
Céleri rave, bouilli/cuit à l'eau;23,740;0,94;4,32;0,3
Petit pot légumes, dès 4-6 mois;18,800;0,9;3,8;0,000
Asperge verte, bouillie/cuite à l'eau;20,380;2,69;1,73;0,3
Poireau, surgelé, cru;21,690;1,42;3,35;0,29
Pané soja et blé (ne convient pas aux véganes ou végétaliens);249,900;14,4;16,8;13,9
Pain de seigle, et froment;248,080;8,27;51,5;1
Boulettes au porc et au boeuf (à la suédoise), préemballées, crues;256,120;14,4;7,78;18,6
"Mozzarella au lait de bufflonne ou buflesse (""di bufala"")";259,660;14,5;0,24;22,3
Court-bouillon pour poissons, déshydraté;255,000;5;7;23
Pain, baguette ou boule, au levain;253,740;7,41;53,1;1,3
Pain, sans gluten;247,380;2,62;51,8;3,3
Lardon fumé, cuit;260,900;14,7;0,8;22,1
Base de pizza à la crème;258,600;7,7;51,1;2,6
Pâtes fraîches farcies (ex : raviolis, tortellinis), au fromage et aux légumes, préemballées, crues;256,730;9,98;41,4;5,69
Pain de mie, complet;245,380;8,51;43,7;4,06
Mousse au chocolat végétale, préemballée;249,960;6,69;24,3;14
Dessert glacé feuilleté, à partager;260,540;2,71;26,2;16,1
Fromage pané au jambon;262,200;17,4;15,3;14,6
Burger au poisson, provenant de fast food;259,100;12,2;26,7;11,5
Nougat glacé;257,720;4,93;25,3;15,2
Croque-madame;261,900;13,7;16,9;15,5
Sarriette, séchée;172,110;6,73;23;5,91
Pâtes fraîches farcies (ex : raviolis, totellinis), à la viande (ex : bolognaise), préemballées, crues;258,910;11,4;40,3;5,79
Sandwich baguette, saumon fumé, beurre;259,600;11,5;40,8;5,6
Pain, baguette ou boule, bis (à la farine T80 ou T110) ;253,370;8,6;54;0,33
Boeuf, steak haché 20% MG, cuit;265,360;23;0,14;19,2
Gin;0,000;0;0;0
Origan, séché;180,120;9;26,4;4,28
Tarte aux noix de Saint-Jacques, préemballée;260,300;8,25;24,2;14,5
Pain courant, 400g ou boule;257,600;7,9;52;2
Porc, rouelle de jambon, cuite;265,500;36,9;0,000;13,1
Espadon, rôti/cuit au four;266,900;28,7;0,000;16,9
Pizza 4 fromages, préemballée;259,700;13,1;28,2;10,5
Tarte ou quiche salée (aliment moyen);263,640;8,11;22,7;15,6
Sandwich baguette, porc, crudités (tomate, salade), mayonnaise;263,800;12;30,1;10,6
Sandwich pain de mie, garnitures diverses, préemballé;258,800;11,7;25,1;12,4
Omelette aux lardons;267,340;12,5;1,46;23,5
Camembert au lait cru;265,500;20,7;0,000;20,3
Pâtes fraîches farcies (ex : raviolis, tortellinis, ravioles du Dauphiné), au fromage, préemballées, crues;263,610;11,3;37,3;7,69
Cheeseburger, provenant de fast food;263,300;13,7;23,1;12,9
Poitrine de porc demi-sel;268,200;16,8;0,75;22
Pain, baguette ou boule, aux céréales et graines, artisanal;254,720;9,58;46,9;3,2
Boeuf, plat de côtes, braisé;268,900;37,3;0;13,3
Pâté de foie de volaille;269,140;13,8;1,96;22,9
Crème de lait ou spécialité à base de crème légère, teneur en matière grasse inconnue (aliment moyen);257,000;2,88;2,87;26
Soupe à la volaille et aux légumes, déshydratée reconstituée;26,240;0,99;4,58;0,44
Boisson au thé, aromatisée, teneur en sucre et édulcorant inconnue (aliment moyen);24,635;0,028;6,11;0,0092
Boisson au thé, aromatisée, sucrée;27,172;0,033;6,76;0,000
Poireau, bouilli/cuit à l'eau;19,160;2,56;2,23;0,000
Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse;21,460;1,13;3,56;0,3
Citron, pulpe, cru;6,240;0,000;1,56;0,000
Pastis, prêt à boire (1+ 5);27,560;0;6,89;0
Lardon nature, cru;269,340;16,6;1,01;22,1
Fromage type feta, au lait de vache;266,580;16,4;1,42;21,7
Carpaccio de boeuf, avec marinade;270,000;15,2;0,55;23
Pain de mie, sans croûte, préemballé;262,280;7,52;49,5;3,8
Saucisse de Francfort;270,360;13,7;1,24;23,4
Andouille, réchauffée à la poêle;270,000;22,5;0;20
Veau, escalope panée, cuite;268,900;22,9;12,6;14,1
Brie de Meaux;271,900;21,4;0,000;20,7
